Name,Quelle,Gruppe,Volk,Klasse,Stufe,Fähigkeiten,Upgrade,KÖR,AGI,GEI,ST,BE,VE,HÄ,GE,AU,Lebenskraft,Initiative,Laufen,Abwehr,Schlagen,Schiessen,Zauber,Zielzauber,GH,GK,EP,Talente,Fähigkeiten Schlüssel,Waffen,Panzerung,Ausrüstung,Zaubersprüche
Rattling Kriegshäuptling,Slay! #2,Rattling,Rattling,KRI,10,"Dunkelsicht, Klein, Leichtfüßig, Lichtempfindlich, Resistenz gegen Krankheiten und Gifte, Zäher als sie aussehen",,7,8,5,5,3,1,6,1,0,32,11,6.5,19,17,10,,,5,kl,75,"Einstecker III, Kämpfer III, Ausweichen II, Flink II, Brutaler Hieb II, Parade II, Wissensgebiet II, Heimlichkeit I, Hinterhältiger Angriff I, Schwimmen I, Wahrnehmung I","Einstecker III: DS4Talent.endurance.description, Kämpfer III: DS4Talent.fighter.description, Ausweichen II: DS4Talent.evasion.description, Flink II: DS4Talent.fast.description, Brutaler Hieb II: DS4Talent.brutalstrike.description, Parade II: DS4Talent.parade.description, Wissensgebiet II: DS4Talent.knowledge.description, Heimlichkeit I: DS4Talent.creepy.description, Hinterhältiger Angriff I: DS4Talent.sneakattack.description, Schwimmen I: DS4Talent.swimming.description, Wahrnehmung I: DS4Talent.perception.description","Kurzbogen (2h) (WB+1, INI+1), mag. Krummsäbel +1 (WB+2, INI+1, GA-1)","Kettenpanzer (PA+2, LA-0.5), Metallhelm (PA+1, INI-1), Lederschienen (Arm & Bein) (PA+1)",,
Rattling Seuchenpriester,Slay! #2,Rattling,Rattling,Hei,6,"Dunkelsicht, Klein, Leichtfüßig, Lichtempfindlich, Resistenz gegen Krankheiten und Gifte, Zäher als sie aussehen",,7,5,8,0,0,4,2,1,8,25,5,3.5,9,8,6,16,10,1,kl,73,"Alchemie II, Einstecker II, Wissensgebiet II, Fürsorger I, Ausweichen I, Schwimmen I, Heimlichkeit I, Wahrnehmung I, Zaubermacht I","Alchemie II: DS4Talent.alchemie.description, Einstecker II: DS4Talent.endurance.description, Wissensgebiet II: DS4Talent.knowledge.description, Fürsorger I: DS4Talent.welfare.description, Ausweichen I: DS4Talent.evasion.description, Schwimmen I: DS4Talent.swimming.description, Heimlichkeit I: DS4Talent.creepy.description, Wahrnehmung I: DS4Talent.perception.description, Zaubermacht I: DS4Talent.powerofmagic.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,"Blenden (-(AGI+AU)/2), Einschläfern (-(KÖR+VE)/2), Giftbann (0), Giftschutz (+1), Heilende Hand (+2), Magie entdecken (0), Netz (-(AGI+ST)/2), Rost (-Stufe), Segen (0), Tiere besänftigen (-LK/5), Vertreiben (-(KÖR+AU)/2)"
Raubkatze,Dungeonslayers Basisbox,Tiere,,,,,,7,10,1,3,5,0,1,0,0,27,15,9,9,12,10,,,3,no,84,"Mehrere Angriffe (+1), Nachtsicht, Natürliche Waffen","Mehrere Angriffe (+1): DS4CreatureTalent.multipleattackscat.description, Nachtsicht: DS4CreatureTalent.nightvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description","Pranke/Biss (WB+2, GA-1)",Fell (PA+1),,
Reitkeiler,Dungeonslayers Basisbox,Tiere,,,,,,9,9,1,2,2,0,4,0,0,35,11,8.5,15,13,9,,,5,no,86,"Natürliche Waffen, Sturmangriff","Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description","Hauer (WB+2, GA-1)",Dicke Borstenhaut (PA+2),,
Rekrut der Reiter der Morgenröte,Slayerforum,Halbling,Halbling,KRI,1,"Geschwind, Klein, Leichtfüßig, Magisch unbegabt, Talentiert, Zäher als sie aussehen",,8,8,4,6,2,0,2,0,0,20,12,5,11,16,8,,,3,kl,51,"Reiten II, Parade I, Kämpfer I, Waffenkenner I","Reiten II: DS4Talent.riding.description, Parade I: DS4Talent.parade.description, Kämpfer I: DS4Talent.fighter.description, Waffenkenner I: DS4Talent.weaponsadept.description",Krummsäbel (WB+1),,,
Remnaton,D2GO #7,Untote,,,,,Episch,12,12,12,3,3,3,3,3,3,250,15,7,19,25,20,,,33,no,852,"Mehrere Angriffe (+1), Anfällig, Geistesimmun, Odem, Totenkraft, Werteverlust","Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacks1.description, Anfällig: DS4CreatureTalent.weaknessfire.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Odem: DS4CreatureTalent.odem.description, Totenkraft: DS4CreatureTalent.forceofdeath.description, Werteverlust: DS4CreatureTalent.losskor.description","Fäulnispranke (WB+6, GA-6), Sandstrahlodem (WB+5)",,,
Riese,Dungeonslayers Basisbox,Humanoide,,,,,,27,6,2,7,3,1,7,0,0,220,9,6,35,38,10,,,29,ri,347,"Umschlingen, Zerstampfen","Umschlingen: DS4CreatureTalent.entangle.description, Zerstampfen: DS4CreatureTalent.trample.description","Baumstamm (WB+4, GA-4), Geworf. Fels (WB+4, GA-4)",Felle (PA+1),,
Riesenaffe,D2GO #4,Tiere,,,,,,12,12,0,4,4,0,2,2,0,48,16,7.5,15,18,14,,,8,gr,97,Kletterläufer,Kletterläufer: DS4CreatureTalent.climb.description,Pranke (WB+2),Dickhäuter (PA+1),,
Riesenechse,Dungeonslayers Basisbox,Tiere,,,,,,15,12,1,5,5,0,4,0,0,218,17,12.5,21,24,12,,,25,ri,316,"Kletterläufer, Nachtsicht, Natürliche Waffen, Sturmangriff, Verschlingen","Kletterläufer: DS4CreatureTalent.climb.description, Nachtsicht: DS4CreatureTalent.nightvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description, Verschlingen: DS4CreatureTalent.gulp.description",Grausamer Biss (WB+4),Schuppenpanzer (PA+2),,
Riesenkrake,Dungeonslayers Basisbox,Tiere,,,,,,22,10,1,5,8,0,4,0,0,270,18,11,26,29,10,,,35,ri,397,"Mehrere Angriffe (+5), Mehrere Angriffsglieder, Natürliche Waffen, Schwimmen, Umschlingen","Mehrere Angriffe (+5): DS4CreatureTalent.multipleattacksoctopus.description, Mehrere Angriffsglieder: DS4CreatureTalent.multipleweaponsoctopus.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Schwimmen: DS4CreatureTalent.swim.description, Umschlingen: DS4CreatureTalent.entangle.description",Fangarme (WB+2),,,
Riesenpterodactylus,Die Insel der Stürme,Tiere,,,,,,14,16,2,3,6,0,4,3,0,140,22,11,20,21,19,,,22,ri,264,"Angst, Anfällig, Fliegen, Natürliche Waffen, Sturzangriff, Verschlingen","Angst: DS4CreatureTalent.fear2.description, Anfällig: DS4CreatureTalent.weaknessriesenpterodactylus.description, Fliegen: DS4CreatureTalent.fly.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturzangriff: DS4CreatureTalent.stuka.description, Verschlingen: DS4CreatureTalent.gulp.description",Grausamer Schnabel (WB+4),Schuppenpanzer (PA+2),,
Riesenratte,Dungeonslayers Basisbox,Tiere,,,,,,4,6,1,2,2,0,1,0,0,11,8,6,5,8,6,,,1,kl,41,"Dunkelsicht, Natürliche Waffen, Schwimmen","Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Schwimmen: DS4CreatureTalent.swim.description",Spitze Zähne (WB+2),,,
Riesenschlange,Dungeonslayers Basisbox,Tiere,,,,,,9,12,1,5,3,0,3,0,0,66,15,11,14,16,12,,,8,gr,143,"Gift, Natürliche Waffen, Umschlingen","Gift: DS4CreatureTalent.poison.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Umschlingen: DS4CreatureTalent.entangle.description","Großer Biss (WB+2, GA-2)",Schuppenpanzer (PA+2),,
Riesensumpfotter,Das Umbarla-Becken,Tiere,,,,,,12,10,1,6,2,0,3,0,0,188,12,11,17,20,10,,,20,ri,291,"Gift, Lähmungseffekt, Natürliche Waffen, Umschlingen","Gift: DS4CreatureTalent.poison.description, Lähmungseffekt: DS4CreatureTalent.paralyse.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Umschlingen: DS4CreatureTalent.entangle.description","Biss (WB+2, GA-2)",Schuppenpanzer (PA+2),,
Ritter 01,Beispiele,Mensch,Mensch,KRI,1,Talentiert,,8,6,6,2,0,0,4,0,4,22,7,1,21,13,6,,,6,no,62,"Kämpfer I, Parade I, Reiten I, Schnelle Reflexe I","Kämpfer I: DS4Talent.fighter.description, Parade I: DS4Talent.parade.description, Reiten I: DS4Talent.riding.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description","Langschwert (WB+2), Lanze (WB+1)","Plattenpanzer (PA+3, LA-1), Turmschild (PA+2, LA-1), Plattenbeinschienen (PA+1, LA-0.5), Plattenarmschienen (PA+1, LA-0.5), Metallhelm (PA+1, INI-1)",,
Ritter 04,Beispiele,Mensch,Mensch,KRI,4,Talentiert,,8,6,6,5,0,0,4,0,4,22,9,4,21,18,6,,,8,no,65,"Kämpfer III, Charmant I, Parade I, Reiten I, Schnelle Reflexe I","Kämpfer III: DS4Talent.fighter.description, Charmant I: DS4Talent.charmant.description, Parade I: DS4Talent.parade.description, Reiten I: DS4Talent.riding.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description","Langschwert (WB+2), Lanze (WB+1)","Plattenpanzer (PA+3, LA-1), Turmschild (PA+2, LA-1), Plattenbeinschienen (PA+1, LA-0.5), Plattenarmschienen (PA+1, LA-0.5), Metallhelm (PA+1, INI-1, Schnelle Reflexe +I)",Stiefel (Flink +III),
Ritter 08,Beispiele,Mensch,Mensch,KRI,8,Talentiert,,8,6,6,7,0,0,6,0,4,33,12,4,25,23,6,,,13,no,83,"Kämpfer III, Parade III, Reiten II, Charmant I, Brutaler Hieb I, Schnelle Reflexe I","Kämpfer III: DS4Talent.fighter.description, Parade III: DS4Talent.parade.description, Reiten II: DS4Talent.riding.description, Charmant I: DS4Talent.charmant.description, Brutaler Hieb I: DS4Talent.brutalstrike.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description","mag. Langschwert +3 (WB+5, INI+3, GA-3), Lanze (WB+1)","Plattenpanzer (PA+3, LA-1, Einstecker +III), Turmschild (PA+2, LA-1), Plattenbeinschienen (PA+1, LA-0.5), Plattenarmschienen (PA+1, LA-0.5), Metallhelm (PA+1, INI-1, Schnelle Reflexe +I)",Stiefel (Flink +III),
Ritter 12,Beispiele,Mensch,Mensch,KRI,12,Talentiert,,8,6,6,9,0,0,8,0,7,35,12,4,27,25,6,,,16,no,92,"Brutaler Hieb III, Kämpfer III, Parade III, Reiten III, Charmant II, Schnelle Reflexe I","Brutaler Hieb III: DS4Talent.brutalstrike.description, Kämpfer III: DS4Talent.fighter.description, Parade III: DS4Talent.parade.description, Reiten III: DS4Talent.riding.description, Charmant II: DS4Talent.charmant.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description","mag. Langschwert +3 (WB+5, INI+3, GA-3), Lanze (WB+1)","Plattenpanzer (PA+3, LA-1, Einstecker +III), Turmschild (PA+2, LA-1), Plattenarmschienen (PA+1, LA-0.5), Metallhelm (PA+1, INI-1, Schnelle Reflexe +I), Plattenbeinschienen (PA+1, LA-0.5)","Diadem (Aura +3), Stiefel (Flink +III)",
Ritter Gungart,Slay! #3,Untote,,,,,Heroisch,7,6,9,17,0,8,21,4,8,190,6,4,33,24,10,17,20,23,no,690,"Angst, Geistesimmun, Totenkraft, Wesen der Dunkelheit (Settingoption)","Angst: DS4CreatureTalent.fear1.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Totenkraft: DS4CreatureTalent.forceofdeath.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",,mag. Robe +3 (PA+3),,"Arkanes Schwert (0), Ebenentor (-8), Einschläfern (-(KÖR+VE)/2), Flammeninferno (+5), Frostschock (+3), Gasgestalt (0), Gehorche (-(GEI+VE)/2), Kontrollieren (-(GEI+AU)/2), Magisches Schloss (0), Netz (-(AGI+ST)/2), Schatten (-(AGI+AU)/2), Schatten erwecken (0), Schattenlanze (+5), Skelette erwecken (0), Springen (0), Stolpern (-(AGI+AU)/2), Trugbild (-2), Unsichtbarkeit (0), Verwirren (-(GEI+AU)/2), Wandöffnung (0), Wolke des Todes (-4), Zeitstop (-5)"
Ritter Wilbert,Dungeonslayers Basisbox,Mensch,Mensch,KRI,3,Talentiert,,8,6,6,6,0,0,6,0,0,24,3,3,18,17,6,,,8,no,103,,,"Bihänder (2h) (WB+3, INI-2, GA-4)","Plattenpanzer (PA+3, LA-1), Metallhelm (PA+1, INI-1)",,
Rogg (Umbar-Barbar),Avakars Runde,Mensch,Mensch,KRI,6,Talentiert,,8,7,5,8,2,0,5,0,0,32,9,4.5,17,22,7,,,10,no,114,"Brutaler Hieb III, Einstecker III, Magieresistent II, Kämpfer I, Schnelle Reflexe I","Brutaler Hieb III: DS4Talent.brutalstrike.description, Einstecker III: DS4Talent.endurance.description, Magieresistent II: DS4Talent.magicresistent.description, Kämpfer I: DS4Talent.fighter.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description","mag. Bihänder (2h) +2 (WB+5, GA-6, 1x aktionsfrei Aufstehen), mag. Streithammer (2h) +2 (WB+5, INI-2, GA-2, Brutaler Hieb +III)","Lederpanzer (PA+1, Abwehr +1), Lederschienen (Arm & Bein) (PA+1)",Ring (Abwehr +1),
Rostassel,Dungeonslayers Basisbox,Tiere,,,,,,8,7,1,4,0,0,4,0,0,33,7,7,15,13,7,,,8,no,111,"Mehrere Angriffe (+3), Dunkelsicht, Mehrere Angriffsglieder, Natürliche Waffen, Rost","Mehrere Angriffe (+3): DS4CreatureTalent.multipleattacksrust.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Mehrere Angriffsglieder: DS4CreatureTalent.multipleweaponsrust.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Rost: DS4CreatureTalent.rust.description",Tentakelfühler (WB+1),Chitinpanzer (PA+3),,
Ryan Dougal,Slay! #2,Mensch,Mensch,KRI,1,Talentiert,,8,8,4,5,0,0,0,5,0,18,8,5,11,13,13,,,1,no,50,"Brutaler Hieb I, Fieser Schuss I, Parade I, Prügler I","Brutaler Hieb I: DS4Talent.brutalstrike.description, Fieser Schuss I: DS4Talent.meanshot.description, Parade I: DS4Talent.parade.description, Prügler I: DS4Talent.birching.description","Schlagring, Wurfmesser","Lederpanzer (PA+1), Lederschienen (Arm & Bein) (PA+1)",,
Räuber,D2GO #1,Mensch,Mensch,KRI,1,Talentiert,,8,8,2,2,2,1,2,2,0,20,11,5,11,12,11,,,1,no,51,,,"Langschwert (WB+2), Kurzbogen (2h) (WB+1, INI+1)",Lederpanzer (PA+1),,
Sanuriel,Valen Coladris,Elf,Elf,Zau,1,"Nachtsicht, Unsterblich, Zielsicher",,6,6,8,0,0,2,2,4,3,18,6,4,8,7,11,,15,1,no,53,"Blitzmacher I, Glückspilz I, Wahrnehmung I, Wissensgebiet I","Blitzmacher I: DS4Talent.boltthrower.description, Glückspilz I: DS4Talent.lucky.description, Wahrnehmung I: DS4Talent.perception.description, Wissensgebiet I: DS4Talent.knowledge.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,Schock (+1)
Schatten,Dungeonslayers Basisbox,Untote,,,,,,11,11,0,5,0,0,4,2,0,25,11,6.5,23,18,13,,,15,no,136,"Alterung, Dunkelsicht, Fliegen, Geistesimmun, Körperlos, Wesen der Dunkelheit (Settingoption)","Alterung: DS4CreatureTalent.aging1.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Körperlos: DS4CreatureTalent.withoutbody.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Geisterklaue (WB+2, GA-2)",Körperlos (PA+8),,
Schattenkultist,Die Kinder der Schatten,Mensch,Mensch,KRI,1,Talentiert,,7,7,6,3,1,0,2,2,0,19,8,4.5,9,11,9,,,1,no,48,,,Kurzschwert (WB+1),Robe,,
Schattenpriester,Die Kinder der Schatten,Mensch,Mensch,Sch,5,Talentiert,,5,8,7,0,0,5,0,6,2,15,9,5,5,5,14,9,13,1,no,62,,,Dolch (INI+1),Robe (runenbestickt) (Aura +1),,"Niesanfall (-(KÖR+AU)/2), Schatten (-(AGI+AU)/2), Schattenpfeil (+2), Skelette erwecken (0), Verwirren (-(GEI+AU)/2)"
Schattenwolf,Wolfshatz im Wargenwald,Tiere,,,,,,9,7,1,3,4,0,2,0,0,32,11,7,14,14,7,,,5,no,88,"Anfällig, Natürliche Waffen, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Anfällig: DS4CreatureTalent.weaknesslight.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Kräftiger Biss (WB+2, GA-1)",Schattenpelz (PA+3),,
Schimmerross,Dungeonslayers Basisbox,Tiere,,,,,,9,12,1,2,6,0,3,0,0,66,18,11,12,13,12,,,4,gr,106,"Nachtsicht, Natürliche Waffen","Nachtsicht: DS4CreatureTalent.nightvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description",Huf (WB+2),,,
Schlachtross,Dungeonslayers Basisbox,Tiere,,,,,,12,10,1,4,4,0,3,0,0,75,14,9.5,15,18,10,,,9,gr,121,"Natürliche Waffen, Sturmangriff","Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description",Huf/Rammen (WB+2),,,
Schlingwurzelbusch,Dungeonslayers Basisbox,Pflanzenwesen,,,,,,6,8,0,3,0,0,4,0,0,30,8,7.5,11,11,8,,,8,no,122,"Mehrere Angriffe (+4), Geistesimmun, Natürliche Waffen, Umschlingen","Mehrere Angriffe (+4): DS4CreatureTalent.multipleattacksslingingbush.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Umschlingen: DS4CreatureTalent.entangle.description",Wurzelhiebe (WB+2),Gehölz (PA+1),,
Schlächter,Slay! #3,Untote,,,,,,10,6,5,8,4,0,8,4,0,28,10,4,21,20,12,,,11,no,124,"Auferstehung, Dunkelsicht, Geistesimmun, Regeneration, Resistenz, Wesen der Dunkelheit (Settingoption)","Auferstehung: DS4CreatureTalent.revive.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Regeneration: DS4CreatureTalent.regenerationholywater.description, Resistenz: DS4CreatureTalent.resistenz2.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Machete (WB+2), Langbogen (2h) (WB+2, INI+1)","Merkt nichts (PA+2), Metallhelm (PA+1, INI-1)",,
Schnappaal,Das Geheimnis des Knochenbaus,Tiere,,,,,,9,8,0,4,0,0,4,2,0,12,8,5,13,14,10,,,3,kl,52,"Dunkelsicht, Natürliche Waffen, Schwimmen","Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Schwimmen: DS4CreatureTalent.swim.description",Biss (WB+1),,,
Schneeriese,Ein Riesenproblem,Humanoide,,,,,,20,6,2,6,3,1,6,0,0,180,9,6,27,29,9,,,20,ri,276,"Umschlingen, Zerstampfen","Umschlingen: DS4CreatureTalent.entangle.description, Zerstampfen: DS4CreatureTalent.trample.description","Axt (WB+3, GA-2), Geworf. Fels (WB+3, GA-2)",Felle (PA+1),,
Schreckensdachs,Ein Riesenproblem,Tiere,,,,,,14,6,1,4,3,0,3,0,0,41,9,6,18,20,6,,,10,no,100,Nachtsicht,Nachtsicht: DS4CreatureTalent.nightvision.description,"Pranke (WB+2, GA-2)",Fell (PA+1),,
Sensenmann,Slay! #3,Untote,,,,,,10,7,8,20,3,4,20,5,6,40,9,4.5,38,37,12,14,13,36,no,430,"Angst, Alterung, Dunkelsicht, Fliegen, Geistesimmun, Nur durch Magie verletzbar, Resistenz, Totenkraft, Vernichtender Schlag, Wesen der Dunkelheit (Settingoption)","Angst: DS4CreatureTalent.fear5.description, Alterung: DS4CreatureTalent.agingx.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Nur durch Magie verletzbar: DS4CreatureTalent.vulnerablewithmagic.description, Resistenz: DS4CreatureTalent.resistenz8.description, Totenkraft: DS4CreatureTalent.forceofdeath.description, Vernichtender Schlag: DS4CreatureTalent.destroyingstrike.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Sense (WB+7, INI-1, GA-7)",Körperlos (PA+8),,"Ebenentor (-8), Geben und Nehmen (0), Halt (-(KÖR+AU)/2), Kontrollieren (-(GEI+AU)/2), Schatten erwecken (0), Skelette erwecken (0), Teleport (-1/Begleiter), Totengespräch (0), Unsichtbares sehen (0), Unsichtbarkeit (0), Verborgenes sehen (0), Verlangsamen (-(KÖR+AU)/2), Versetzen (0), Wiederbelebung (0), Zombies erwecken (0)"
Shekz,Dungeonslayers Basisbox,Humanoide,,,,,,3,5,7,0,0,4,1,2,4,7,5,3.5,5,3,7,11,9,1,kl,49,"Nachtsicht, Wesen der Dunkelheit (Settingoption)","Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Wurfmesser,Felle (PA+1),,"Einschläfern (-(KÖR+VE)/2), Feuerstrahl (+1)"
Sinda,SC2GO,Mensch,Mensch,SPÄ,1,Talentiert,,7,8,5,3,0,0,2,5,0,22,9,5,10,11,14,,,1,no,55,"Ausweichen I, Einstecker I","Ausweichen I: DS4Talent.evasion.description, Einstecker I: DS4Talent.endurance.description","Kurzbogen (2h) (WB+1, INI+1), Kurzschwert (WB+1)",Lederpanzer (PA+1),,
Skelett,Dungeonslayers Basisbox,Untote,,,,,,10,8,0,3,2,0,2,2,0,22,10,5,12,14,10,,,4,no,72,"Dunkelsicht, Geistesimmun, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Kochenklauen (WB+1),,,
Skelettdrache,Slay! #3,Untote,,,,,,15,12,3,8,9,1,7,7,2,480,21,15.5,25,26,19,,,46,ge,685,"Angst, Mehrere Angriffe (+1), Dunkelsicht, Fliegen, Geistesimmun, Natürliche Waffen, Schleudern, Sturzangriff, Totenkraft, Wesen der Dunkelheit (Settingoption), Zerstampfen","Angst: DS4CreatureTalent.fear2.description, Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacksdragon.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Schleudern: DS4CreatureTalent.throw.description, Sturzangriff: DS4CreatureTalent.stuka.description, Totenkraft: DS4CreatureTalent.forceofdeath.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description, Zerstampfen: DS4CreatureTalent.trample.description","Biss, Klaue oder Schwanzhieb (WB+3, GA-2)",Skelettpanzer (PA+3),,
Skelettkrieger,Slay! #3,Untote,,,,,,8,7,5,6,2,0,4,4,3,22,9,4,15,17,13,,,9,no,115,"Mehrere Angriffe (+1), Dunkelsicht, Geistesimmun, Bezaubern, Resistenz, Wesen der Dunkelheit (Settingoption)","Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacks1.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Bezaubern: DS4CreatureTalent.charmcontrol.description, Resistenz: DS4CreatureTalent.resistenz2.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","mag. Langschwert +1 (WB+3, INI+1, GA-1), Knochenbogen (WB+2, INI+1)","Kettenpanzer (PA+2, LA-0.5), Metallhelm (PA+1, INI-1)",,
Skelettmagier,Slay! #3,Untote,,,,,,6,6,8,2,2,4,2,7,5,18,8,4,9,9,13,13,19,4,no,109,"Dunkelsicht, Geistesimmun, Resistenz, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Resistenz: DS4CreatureTalent.resistenz2.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Kampfstab (2h) (WB+1, Zielzauber +1)","mag. Robe (runenbestickt) +1 (PA+1, Aura +1)",,"Arkanes Schwert (0), Blitz (+3), Feuerball (+3), Feuerlanze (+2), Flackern (-2), Flammenklinge (0), Halt (-(KÖR+AU)/2), Magische Rüstung (0), Schutzschild (0), Spurt (-2)"
Skelettschütze,Slay! #3,Untote,,,,,,7,8,5,3,4,4,3,6,0,20,15,4.5,13,12,18,,,7,no,103,"Dunkelsicht, Geistesimmun, Resistenz, Wesen der Dunkelheit (Settingoption), Zielen","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Resistenz: DS4CreatureTalent.resistenz2.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description, Zielen: DS4CreatureTalent.targeting.description","Knochenbogen (WB+4, INI+3, GA-2), Kochenklauen (WB+2)","Kettenpanzer (PA+2, LA-0.5), Lederschienen (Arm & Bein) (PA+1)",,
Stadtwache in den Freien Landen,Slayerforum,Mensch,Mensch,KRI,1,Talentiert,,8,8,4,5,0,0,5,0,0,26,6,5,14,16,8,,,4,no,59,"Einstecker I, Kämpfer I, Verletzen I, Wissensgebiet I","Einstecker I: DS4Talent.endurance.description, Kämpfer I: DS4Talent.fighter.description, Verletzen I: DS4Talent.violator.description, Wissensgebiet I: DS4Talent.knowledge.description","Hellebarde (2h) (WB+2, INI-2)",Lederpanzer (PA+1),,
Sternheider Forscher,Slayerforum,Elf,Elf,SPÄ,1,"Nachtsicht, Unsterblich, Leichtfüßig",,4,8,8,0,1,4,1,4,0,15,10,5,6,4,13,,,1,no,47,"Jäger I, Wahrnehmung I, Wissensgebiet I, Wissensgebiet I, Zauber auslösen I","Jäger I: DS4Talent.hunter.description, Wahrnehmung I: DS4Talent.perception.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Zauber auslösen I: DS4Talent.triggerspells.description","Kurzbogen (2h) (WB+1, INI+1), Dolch (INI+1)",Lederpanzer (PA+1),,
Stig,Ein Riesenproblem,Mensch,Mensch,Hei,5,Talentiert,,6,6,8,0,0,4,4,0,6,20,6,4,12,7,7,14,8,1,no,71,"Fürsorger II, Ausweichen I, Alchemie I, Rüstzauberer I, Zaubermacht I","Fürsorger II: DS4Talent.welfare.description, Ausweichen I: DS4Talent.evasion.description, Alchemie I: DS4Talent.alchemie.description, Rüstzauberer I: DS4Talent.armormage.description, Zaubermacht I: DS4Talent.powerofmagic.description",Speer (WB+1),"Lederpanzer (PA+1), Lederschienen (Arm & Bein) (PA+1)",,"Federgleich (0), Giftbann (0), Heilbeeren (+2), Heilende Aura (+2), Heilende Hand (+3), Lichtpfeil (+2), Magische Waffe (0), Schutzschild (+2)"
